level,topic_order,topic,temp_order,temp,pos,phonetic,definition,example
B1,1,Daily Life,1,chore,noun,/ˈtʃɔr/,a routine task at home,Doing chores helps the family.
B1,1,Daily Life,2,housework,noun,/ˈhaʊsˌwɜrk/,work done to keep a house clean,She does housework every day.
B1,1,Daily Life,3,laundry,noun,/ˈlɔndri/,clothes to be washed,I need to do the laundry.
B1,1,Daily Life,4,vacuum,verb,/ˈvækjum/,to clean with a vacuum cleaner,Please vacuum the carpet.
B1,1,Daily Life,5,mop,verb,/ˈmɑp/,to clean floors with water,Mop the kitchen floor.
B1,1,Daily Life,6,sweep,verb,/ˈswip/,to clean with a broom,Sweep the leaves outside.
B1,1,Daily Life,7,dust,verb,/ˈdʌst/,to remove dust from surfaces,Dust the shelves.
B1,1,Daily Life,8,iron,verb,/ˈaɪɚn/,to make clothes smooth,Iron your shirt.
B1,1,Daily Life,9,fold,verb,/ˈfoʊld/,to bend something over itself,Fold the clean towels.
B1,1,Daily Life,10,scrub,verb,/ˈskrʌb/,to clean by rubbing hard,Scrub the bathtub.
B1,1,Daily Life,11,rinse,verb,/ˈrɪns/,to wash with clean water,Rinse the dishes.
B1,1,Daily Life,12,wipe,verb,/ˈwaɪp/,to clean by rubbing,Wipe the table.
B1,1,Daily Life,13,polish,verb,/ˈpɑlɪʃ/,to make something shiny,Polish the furniture.
B1,1,Daily Life,14,tidy,verb,/ˈtaɪdi/,to make neat and organized,Tidy your room.
B1,1,Daily Life,15,organize,verb,/ˈɔrgəˌnaɪz/,to arrange in order,Organize your closet.
B1,1,Daily Life,16,maintain,verb,/meɪnˈteɪn/,to keep in good condition,Maintain your car regularly.
B1,1,Daily Life,17,broom,noun,/ˈbrum/,tool for sweeping,Sweep with a broom.
B1,1,Daily Life,18,mop,noun,/ˈmɑp/,tool for cleaning floors,Use the mop.
B1,1,Daily Life,19,bucket,noun,/ˈbʌkɪt/,container for water,Fill the bucket with water.
B1,1,Daily Life,20,sponge,noun,/ˈspʌndʒ/,soft material for cleaning,Clean with a sponge.
B1,1,Daily Life,21,detergent,noun,/dɪˈtɜrdʒənt/,soap for cleaning,Add detergent to the water.
