level,topic_order,topic,temp_order,temp,pos,phonetic,definition,example
A1,1,Greetings and Introductions,1,hello,exclamation,/həˈloʊ/,an expression of greeting,Hello! How are you?
A1,1,Greetings and Introductions,2,hi,exclamation,/ˈhaɪ/,an informal greeting,Hi! Nice to see you!
A1,1,Greetings and Introductions,3,good morning,interjection,/ˌgʊd ˈmɔrnɪŋ/,a greeting used in the morning,Good morning! Did you sleep well?
A1,1,Greetings and Introductions,4,good afternoon,interjection,/ˌgʊd ˌæftɚˈnun/,a greeting used in the afternoon,"Good afternoon, how may I help you?"
A1,1,Greetings and Introductions,5,good evening,interjection,/ˌgʊd ˈivnɪŋ/,a greeting used in the evening,Good evening! Welcome to our restaurant.
A1,1,Greetings and Introductions,6,good night,interjection,/ˌgʊd ˈnaɪt/,a farewell used at night or before going to sleep,Good night! Sleep well.
A1,1,Greetings and Introductions,7,goodbye,exclamation,/ˌgʊdˈbaɪ/,a farewell remark,Goodbye! See you tomorrow.
A1,1,Greetings and Introductions,8,bye,exclamation,/ˈbaɪ/,an informal way to say goodbye,Bye! Have a nice day!
A1,1,Greetings and Introductions,9,please,adverb,/ˈpliz/,used to ask for something politely,"Can I have some water, please?"
A1,1,Greetings and Introductions,10,thanks,exclamation,/ˈθæŋks/,an informal way to express gratitude,Thanks for your help!
A1,1,Greetings and Introductions,11,sorry,adjective,/ˈsɑri/,feeling regret or apologizing,"Sorry, I am late."
A1,1,Greetings and Introductions,12,welcome,exclamation,/ˈwɛlkəm/,used as a greeting or response to thanks,You are welcome!
A1,1,Greetings and Introductions,13,yes,adverb,/ˈjɛs/,used to give a positive answer,"Yes, I understand."
A1,1,Greetings and Introductions,14,no,adverb,/ˈnoʊ/,used to give a negative answer,"No, thank you."
A1,1,Greetings and Introductions,15,I,pronoun,/ˈaɪ/,used to refer to oneself,I am a student.
A1,1,Greetings and Introductions,16,you,pronoun,/ˈju/,used to refer to the person being spoken to,How are you?
A1,1,Greetings and Introductions,17,my,determiner,/ˈmaɪ/,belonging to me,My name is John.
A1,1,Greetings and Introductions,18,your,determiner,/ˈjʊr/,belonging to you,What is your name?
A1,1,Greetings and Introductions,19,name,noun,/ˈneɪm/,a word by which a person is known,My name is Anna.
